metric_id,geography,metric,value,unit,observation_period,scenario,series_type
statcan_ca_generation_total,Canada,total electricity generation,625.2,TWh,2025,observed,observed
statcan_ca_hydro_generation,Canada,hydroelectric generation,343.4,TWh,2025,observed,observed
statcan_ca_hydro_share,Canada,hydroelectric share of total generation,54.9,percent,2025,observed,observed
cer_ca_dc_load_lower,Canada,data center load,0.5,GW,2030,Lower,forecast_low
cer_ca_dc_load_lower,Canada,data center load,1.5,GW,2050,Lower,forecast_low
cer_ca_dc_load_current,Canada,data center load,1.5,GW,2030,Current Measures / Canada Net-zero,forecast_reference
cer_ca_dc_load_current,Canada,data center load,3.5,GW,2050,Current Measures / Canada Net-zero,forecast_reference
cer_ca_dc_load_higher,Canada,data center load,2.7,GW,2030,Higher,forecast_high
cer_ca_dc_load_higher,Canada,data center load,12,GW,2050,Higher,forecast_high
cer_ca_dc_energy_growth_higher,Canada,data center share of end-use electricity-demand growth,100,TWh,2023-2050,Higher,forecast_high
