radius_km,rep,pair_jaccard,clusters,clustered_share
1,0,1.0,4,0.6833333333333333
1,1,1.0,4,0.6833333333333333
1,2,1.0,4,0.6833333333333333
1,3,1.0,4,0.6833333333333333
1,4,1.0,4,0.6833333333333333
1,5,1.0,4,0.6833333333333333
1,6,1.0,4,0.6833333333333333
1,7,1.0,4,0.6833333333333333
1,8,1.0,4,0.6833333333333333
1,9,1.0,4,0.6833333333333333
1,10,1.0,4,0.6833333333333333
1,11,1.0,4,0.6833333333333333
1,12,1.0,4,0.6833333333333333
1,13,1.0,4,0.6833333333333333
1,14,1.0,4,0.6833333333333333
1,15,1.0,4,0.6833333333333333
1,16,1.0,4,0.6833333333333333
1,17,1.0,4,0.6833333333333333
1,18,1.0,4,0.6833333333333333
1,19,1.0,4,0.6833333333333333
1,20,1.0,4,0.6833333333333333
1,21,1.0,4,0.6833333333333333
1,22,1.0,4,0.6833333333333333
1,23,1.0,4,0.6833333333333333
1,24,1.0,4,0.6833333333333333
1,25,1.0,4,0.6833333333333333
1,26,1.0,4,0.6833333333333333
1,27,1.0,4,0.6833333333333333
1,28,1.0,4,0.6833333333333333
1,29,1.0,4,0.6833333333333333
1,30,1.0,4,0.6833333333333333
1,31,1.0,4,0.6833333333333333
1,32,1.0,4,0.6833333333333333
1,33,1.0,4,0.6833333333333333
1,34,1.0,4,0.6833333333333333
1,35,1.0,4,0.6833333333333333
1,36,1.0,4,0.6833333333333333
1,37,1.0,4,0.6833333333333333
1,38,1.0,4,0.6833333333333333
1,39,1.0,4,0.6833333333333333
1,40,1.0,4,0.6833333333333333
1,41,1.0,4,0.6833333333333333
1,42,1.0,4,0.6833333333333333
1,43,1.0,4,0.6833333333333333
1,44,1.0,4,0.6833333333333333
1,45,1.0,4,0.6833333333333333
1,46,1.0,4,0.6833333333333333
1,47,0.9525691699604744,5,0.6833333333333333
1,48,1.0,4,0.6833333333333333
1,49,1.0,4,0.6833333333333333
1,50,1.0,4,0.6833333333333333
1,51,1.0,4,0.6833333333333333
1,52,1.0,4,0.6833333333333333
1,53,1.0,4,0.6833333333333333
1,54,1.0,4,0.6833333333333333
1,55,1.0,4,0.6833333333333333
1,56,1.0,4,0.6833333333333333
1,57,1.0,4,0.6833333333333333
1,58,1.0,4,0.6833333333333333
1,59,1.0,4,0.6833333333333333
1,60,1.0,4,0.6833333333333333
1,61,1.0,4,0.6833333333333333
1,62,1.0,4,0.6833333333333333
1,63,1.0,4,0.6833333333333333
1,64,1.0,4,0.6833333333333333
