feature,eta_squared,silhouette_drop,silhouette_drop_sd
degree_institutions_50km,0.6736987546621293,0.014551514981210933,0.0009563987985015819
cip14_completions_50km,0.6665410887535761,0.0869023918460256,0.0062184525959815325
professional_scientific_employment,0.6324172236452268,0.021551532681450547,0.0016775093516262587
professional_scientific_establishments,0.6301021148839671,0.019664011586455088,0.001427269267034854
county_total_establishments,0.6054621749025894,0.019045713682675824,0.001396575560662266
information_sector_establishments,0.5901239763749238,0.018020392335678204,0.0013483030527870494
county_total_employment,0.582512661089669,0.022101643317951447,0.0015671125005020355
information_sector_employment,0.5589911794176338,0.027378724312799585,0.002675492070505892
cip11_completions_50km,0.4319670875542521,0.02047600305137426,0.0022652376752965164
dist_interstate_km,0.2902444564035402,0.010352919173025,0.0014148310924871753
max_voltage_within_25km_kv,0.2830882352941178,0.003952105560893648,0.0006340719887638175
degree_institutions_100km,0.21892212116425155,0.005100578970746283,0.000660606122949492
cip11_completions_100km,0.11694015217266553,0.03264967005762226,0.005672725995629626
cip14_completions_100km,0.0974783020243001,0.03293086233297926,0.005234584097592238
dist_transmission_any_km,0.06678799673569191,0.0027527310412719386,0.0006837275565113321
dist_transmission_230kv_km,0.03926881660067322,0.0037785982296167364,0.001334717022110208
dist_transmission_100kv_km,0.027477405627477143,0.002016591562477077,0.0010114915542518133
named_flowlines_within_25km,0.014552447065376197,0.005382169478287346,0.002303872738198976
dist_surface_water_flowline_km,0.01450680835104567,-0.00047828565834495684,0.002556945470687689
transmission_owner_count_25km,0.0033497626217458307,0.0011226106789966606,0.000972300318040315
dist_major_road_km,0.0004319930870232685,0.0023456341390618585,0.0033820799004790434
