field,non_null_n,coverage_pct
dist_transmission_any_km,75,100.0
dist_transmission_100kv_km,75,100.0
dist_transmission_230kv_km,75,100.0
max_voltage_within_25km_kv,75,100.0
transmission_owner_count_25km,75,100.0
dist_major_road_km,75,100.0
dist_interstate_km,75,100.0
dist_surface_water_flowline_km,75,100.0
named_flowlines_within_25km,75,100.0
county_geoid,75,100.0
county_name,75,100.0
degree_institutions_50km,75,100.0
cip11_completions_50km,75,100.0
cip14_completions_50km,75,100.0
degree_institutions_100km,75,100.0
cip11_completions_100km,75,100.0
cip14_completions_100km,75,100.0
county_total_employment,75,100.0
county_total_establishments,75,100.0
county_total_employment_flag,75,100.0
information_sector_employment,75,100.0
information_sector_establishments,75,100.0
information_sector_employment_flag,75,100.0
professional_scientific_employment,75,100.0
professional_scientific_establishments,75,100.0
professional_scientific_employment_flag,75,100.0
