field,role,unit
dist_transmission_any_km,predictor_proxy,km
dist_transmission_100kv_km,predictor_proxy,km
dist_transmission_230kv_km,predictor_proxy,km
max_voltage_within_25km_kv,predictor_proxy,kV
transmission_owner_count_25km,predictor_proxy,count
dist_major_road_km,predictor_proxy,km
dist_interstate_km,predictor_proxy,km
dist_surface_water_flowline_km,predictor_proxy,km
named_flowlines_within_25km,predictor_proxy,count
county_geoid,identifier,FIPS code
county_name,identifier,text
degree_institutions_50km,predictor_proxy,count
cip11_completions_50km,predictor_proxy,count
cip14_completions_50km,predictor_proxy,count
degree_institutions_100km,predictor_proxy,count
cip11_completions_100km,predictor_proxy,count
cip14_completions_100km,predictor_proxy,count
county_total_employment,predictor_proxy,jobs
county_total_establishments,predictor_proxy,count
county_total_employment_flag,predictor_proxy,disclosure code
information_sector_employment,predictor_proxy,jobs
information_sector_establishments,predictor_proxy,count
information_sector_employment_flag,predictor_proxy,disclosure code
professional_scientific_employment,predictor_proxy,jobs
professional_scientific_establishments,predictor_proxy,count
professional_scientific_employment_flag,predictor_proxy,disclosure code
