eps_km,min_samples,clusters,clustered_share,noise_share,largest_cluster
5,3,4,0.38333333333333336,0.6166666666666667,12
10,3,4,0.55,0.45,18
15,3,4,0.6166666666666667,0.38333333333333336,19
20,3,4,0.6833333333333333,0.31666666666666665,19
25,3,4,0.6833333333333333,0.31666666666666665,19
30,3,5,0.7333333333333333,0.26666666666666666,19
35,3,5,0.7666666666666667,0.23333333333333334,19
40,3,5,0.8166666666666667,0.18333333333333332,22
45,3,6,0.8666666666666667,0.13333333333333333,22
50,3,5,0.8666666666666667,0.13333333333333333,22
55,3,5,0.9166666666666666,0.08333333333333333,25
60,3,4,0.9333333333333333,0.06666666666666667,26
5,4,3,0.31666666666666665,0.6833333333333333,11
10,4,2,0.43333333333333335,0.5666666666666667,18
15,4,3,0.5666666666666667,0.43333333333333335,19
20,4,4,0.6833333333333333,0.31666666666666665,19
25,4,4,0.6833333333333333,0.31666666666666665,19
30,4,4,0.6833333333333333,0.31666666666666665,19
35,4,4,0.7166666666666667,0.2833333333333333,19
40,4,4,0.7666666666666667,0.23333333333333334,22
45,4,4,0.7666666666666667,0.23333333333333334,22
50,4,4,0.8166666666666667,0.18333333333333332,22
55,4,4,0.8666666666666667,0.13333333333333333,25
60,4,4,0.9166666666666666,0.08333333333333333,26
5,5,1,0.18333333333333332,0.8166666666666667,11
10,5,2,0.43333333333333335,0.5666666666666667,18
15,5,2,0.5,0.5,19
20,5,3,0.6,0.4,19
25,5,3,0.6166666666666667,0.38333333333333336,19
30,5,3,0.6166666666666667,0.38333333333333336,19
35,5,3,0.65,0.35,19
40,5,3,0.7,0.3,22
45,5,3,0.7,0.3,22
50,5,3,0.75,0.25,22
55,5,3,0.7666666666666667,0.23333333333333334,23
60,5,3,0.8,0.2,24
