site_id,cohort,facility_name,operator,city,county,latitude,longitude,location_precision,location_confidence,status_normalized,facility_type,analysis_scope,nearest_neighbor_km,cluster,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,county_geoid,county_name,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,record_role
TNDC-001,primary,Flexential - Nashville/Brentwood (NAS01/04),Flexential,Brentwood,Williamson,35.972453,-86.808748,address_or_site,high,operational,data_center,core_data_center,3.2412571929598153,C2 Nashville area,0.1651959221897847,0.1651959221897847,0.1651959221897847,500.0,1,0.2659630033542631,0.2659630033542631,0.6961163647055927,1025,47187,Williamson County,36,847.0,519.0,53,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,confirmed_master
TNDC-002,primary,CleanSpark Campbell Junction Bitcoin Mining Facility,"CleanSpark, Inc.",Crossville,Cumberland,36.0436,-85.1692,approximate,medium,operational,crypto_mining,crypto_mining,16.5903008348662,Noise / isolated,2.396606264573128,2.396606264573128,2.396606264573128,500.0,1,0.0469503578292588,1.4075061718544764,0.0181632993983025,851,47035,Cumberland County,6,147.0,339.0,21,326.0,349.0,16494,1153,G,154.0,17.0,H,364.0,80.0,G,confirmed_master
TNDC-003,primary,DC BLOX CHA1 - DCBLOX Chattanooga,DC BLOX Parent LLC,Chattanooga,Hamilton,35.03158,-85.2973,address_or_site,high,operational,data_center,core_data_center,0.7537456534095243,C3 Chattanooga area,2.6067565059703095,2.6067565059703095,7.342171143213216,500.0,2,0.0742319652923255,0.8175356506839869,1.0531543701566626,1150,47065,Hamilton County,14,313.0,152.0,28,535.0,162.0,205761,9883,G,3565.0,174.0,G,10146.0,937.0,G,confirmed_master
TNDC-004,primary,Jailhouse Studios (former Hamilton County Jail),Urban Story Ventures,Chattanooga,Hamilton,35.049557,-85.30803,address_or_site,high,under_construction,data_center,core_data_center,0.4108468813552908,C3 Chattanooga area,2.40924676682399,2.40924676682399,6.044236499979038,500.0,2,0.1349667724668807,2.135441369400803,0.95167681158497,1143,47065,Hamilton County,14,313.0,152.0,28,535.0,162.0,205761,9883,G,3565.0,174.0,G,10146.0,937.0,G,confirmed_master
TNDC-005,primary,Peace Communications CHA1,Scipio Technologies,Chattanooga,Hamilton,35.03746,-85.293181,address_or_site,high,operational,interconnection_facility,core_data_center,0.7537456534095243,C3 Chattanooga area,2.481827490296379,2.481827490296379,7.546223544674594,500.0,2,0.2765433748031277,1.5657424262598074,1.7716781310704195,1158,47065,Hamilton County,14,313.0,152.0,28,535.0,162.0,205761,9883,G,3565.0,174.0,G,10146.0,937.0,G,confirmed_master
TNDC-007,primary,Google Montgomery County Data Center,Google,Clarksville,Montgomery,36.62078,-87.2622,address_or_site,high,operational,data_center,core_data_center,13.34786983412424,Noise / isolated,0.3528111168096206,0.3528111168096206,1.02987984886077,500.0,1,0.8444641826026208,2.803918570052872,0.585738817548979,450,47125,Montgomery County,6,205.0,3.0,50,1617.0,596.0,53777,3428,G,441.0,41.0,G,1647.0,204.0,G,confirmed_master
TNDC-008,primary,Collierville Enterprise Data Center (FedEx World Technology Center Campus),Aphorio Carter,Collierville,Shelby,35.04204,-89.66453,address_or_site,high,operational,data_center,core_data_center,11.311970674520817,C1 Memphis area,2.0522271452302165,2.0522271452302165,9.978601417977911,500.0,1,0.3713223977361833,19.534397163993575,0.6770377186021165,1353,47157,Shelby County,27,950.0,286.0,35,1218.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-009,primary,CleanSpark West Crossville Bitcoin Mining Facility,"CleanSpark, Inc.",Crossville,Cumberland,35.9487,-85.0269,approximate,medium,operational,crypto_mining,crypto_mining,16.5903008348662,Noise / isolated,1.991610443751144,2.4886131922255355,5.785272400934065,500.0,1,0.0151785025615956,3.666392601986651,0.289985419117226,1010,47035,Cumberland County,7,165.0,339.0,31,629.0,1330.0,16494,1153,G,154.0,17.0,H,364.0,80.0,G,confirmed_master
TNDC-010,primary,CleanSpark Decatur Bitcoin Mining Facility,"CleanSpark, Inc.",Decatur,Meigs,35.5148,-84.7902,approximate,medium,operational,crypto_mining,crypto_mining,52.76647745819776,Noise / isolated,1.2587975694286953,1.2587975694286953,1.8509732506021557,500.0,1,0.0045748522133634,13.37638277901819,0.2170490894246995,1180,47121,Meigs County,10,57.0,10.0,37,872.0,1469.0,1839,109,H,0.0,0.0,NO_PUBLISHED_ROW,0.0,0.0,NO_PUBLISHED_ROW,confirmed_master
TNDC-011,primary,Flexential - Nashville/Cool Springs (NAS02/03),Flexential,Franklin,Williamson,35.951091,-86.833251,address_or_site,high,operational,data_center,core_data_center,3.2412571929598153,C2 Nashville area,1.1489252392323943,1.1489252392323943,3.211250079234238,500.0,1,1.2128289754225414,1.7489654321643044,0.2093664616764297,1034,47187,Williamson County,36,859.0,519.0,53,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,confirmed_master
