scenario,pair_jaccard_vs_primary,ARI_vs_primary
eps 5 km,0.3201581027667984,0.2903835009942927
eps 10 km,0.7707509881422925,0.6838005187049603
eps 15 km,0.9288537549407114,0.8702449817396636
eps 20 km,1.0,1.0
eps 25 km,1.0,1.0
eps 30 km,0.98828125,0.9225631453071225
eps 35 km,0.933579335793358,0.853077351592446
eps 40 km,0.7643504531722054,0.7120317578535972
eps 45 km,0.7574850299401198,0.6669753302762109
eps 50 km,0.7008310249307479,0.6505123798841984
eps 55 km,0.5883720930232558,0.5682777470246333
eps 60 km,0.515274949083503,0.5533682905964521
Expanded 75 unique locations,0.9301470588235294,0.9151648773006135
Core data centers only,1.0,1.0
Exact/address-site coordinates,1.0,1.0
