site_id,facility_name,record_role,candidate_type,candidate_confidence,location_precision,location_confidence,primary_weight,weighted_weight,strict_weight,weight_basis
TNDC-001,Flexential - Nashville/Brentwood (NAS01/04),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-002,CleanSpark Campbell Junction Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-003,DC BLOX CHA1 - DCBLOX Chattanooga,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-004,Jailhouse Studios (former Hamilton County Jail),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-005,Peace Communications CHA1,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-007,Google Montgomery County Data Center,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-008,Collierville Enterprise Data Center (FedEx World Technology Center Campus),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-009,CleanSpark West Crossville Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-010,CleanSpark Decatur Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-011,Flexential - Nashville/Cool Springs (NAS02/03),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-012,Flexential - Nashville/Franklin (NAS05/06),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-013,TierPoint Nashville,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-014,Centersquare Gallatin (NAS) Campus,confirmed_master,,,exact,high,1.0,1.0,1.0,confirmed Master
TNDC-015,Meta Gallatin Data Center Campus,confirmed_master,,,address_or_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-016,CleanSpark Jellico Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-017,Bitdeer Knoxville AI Datacenter (5101 S. National Drive),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-018,Peace Communications KNX1,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-019,CleanSpark Lenoir City Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-020,CleanSpark Limestone Bitcoin Mining Facility (closed 2026),confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-021,Arnold Air Force Base Data Center,confirmed_master,,,approximate_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-022,CleanSpark Maynardville Bitcoin Mining Facility,confirmed_master,,,approximate,medium,1.0,1.0,1.0,confirmed Master
TNDC-023,Hixson Data Center (McMinnville),confirmed_master,,,approximate_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-024,Litewire McMinnville (former A.O. Smith Building),confirmed_master,,,exact,high,1.0,1.0,1.0,confirmed Master
TNDC-026,DataBank Memphis (MEM1),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-027,EdgeConneX Memphis (EDCMEM01),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-028,Expedient Memphis,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-029,Level(3) Memphis,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-030,xAI Colossus 1,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-031,xAI Colossus 2,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-032,DC BLOX Nashville (Grassmere Park),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-033,EdgeConneX Nashville (EDCNAS01),confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
