cell_id,centroid_lat,centroid_lon,grid_area_km2,d0_land,d1_feasible,d1_exclusion_reason,open_water_flag,protected_land_flag,regulatory_floodway_flag,mean_slope_deg,urban_context,developed_context,grand_region,sampling_stratum,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,county_geoid,county_name,county_assignment_method,grid_resolution_km,slope_excluded_frac,permanent_open_water_frac,protected_gap12_frac,regulatory_floodway_frac,military_land_frac,hard_exclusion_union_frac,available_area_km2,largest_available_component_km2,available_fraction,d1_status,d1_feasible_v2,d1_exclusion_reasons,d1_feasible_v1,domain_rule_version,slope_threshold_pct,minimum_available_component_km2,military_land_flag,flood_mapping_coverage_status,final_raw_score,final_score,rank_within_batch,score_p05,score_p95,score_iqr,grid_regime,regime_distance,novelty_flag,model_version,selected_specification,phase2_sha256,scored_at_utc,d1_eligibility,exclusion_context,engineering_check_status,d1_relative_percentile,statewide_rank,review_band
TN5K-0001,35.0122769536,-90.27834633170001,11.6737194717,1,1,,1,1,0,0.2175544871,metro_50km,metro_proxy,west,west|metro_50km,7.40363642,7.40363642,9.605344023600001,500,3,13.8718505872,20.1446289762,0.410355008,888,27,956,286,35,1201,540,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.01923076923076923,0.3269230769230769,0,0,0.3461538461538461,4.25,3.9375,0.6538461538461539,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-4.10228594942,22.0223183785,2991,17.8011842405,28.582327488,5.16397176042,R1,4.61822125383,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,22.0223183785,2991,Lower empirical affinity
TN5K-0002,35.0302678764,-90.27428044049999,6.7446810473,1,1,,1,1,0,0.2211253883,metro_50km,metro_proxy,west,west|metro_50km,6.1241557768,6.1241557768,7.8316380054,500,3,13.9335024495,19.0627183358,0.5138770275,893,28,956,286,34,1151,355,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.02298850574712644,0.1800766283524904,0,0,0.2030651340996169,13,12.9375,0.7969348659003832,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.96132374011,26.3493509451,2820,21.2901389205,34.1197904805,5.71054429515,R1,4.55303239378,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,26.3493509451,2820,Lower empirical affinity
TN5K-0003,35.0118305332,-90.2242035842,9.9110404904,1,1,,1,1,0,0.1815462276,metro_50km,metro_proxy,west,west|metro_50km,6.9485830185,6.9485830185,7.5355538936,500,3,9.006454829500001,15.789975135,0.1010660873,1003,29,1103,296,34,1173,481,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.1311475409836066,0.01639344262295082,0,0,0.1475409836065574,6.5,5.375,0.8524590163934427,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-4.02359392902,24.6868594853,2884,21.3698474152,31.1170576179,4.32133910271,R1,4.59640477033,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,24.6868594853,2884,Lower empirical affinity
TN5K-0004,35.0290354348,-90.2165066111,6.7826845848,1,1,,1,1,0,0.3627661549,metro_50km,metro_proxy,west,west|metro_50km,5.312436213,5.312436213,5.8167839729,500,3,8.9549811659,14.2505611617,0.4434933584,1033,27,956,286,35,1201,540,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,nearest_county_boundary,5,0,0.0119047619047619,0.3511904761904762,0,0,0.3630952380952381,6.6875,5.6875,0.6369047619047619,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.64088182207,37.3035754953,2392,33.5128672284,44.8918241858,5.27784103849,R1,4.38681082689,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,37.3035754953,2392,Lower empirical affinity
TN5K-0005,35.3906554251,-90.17066008,1.0281670793,1,1,,1,0,0,0.1884076868,metro_50km,metro_proxy,west,west|metro_50km,7.9852638203,7.9852638203,24.7299219203,500,2,15.4861832487,26.245530527,1.1956166559,1257,26,956,286,35,1164,355,10691,777,G,23,8,H,137,33,G,47167,Tipton County,point_in_county,5,0,0.1012658227848101,0,0,0,0.1012658227848101,4.4375,4.4375,0.8987341772151899,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-5.31424934841,1.41197904805,3827,0.913231610112,2.47210202687,0.592120245958,R2,3.12128046195,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,1.41197904805,3827,Lower empirical affinity
TN5K-0006,35.0110905555,-90.1692092206,7.6878029863,1,1,,1,1,0,0.1753792895,metro_50km,metro_proxy,west,west|metro_50km,3.2066160337,3.2066160337,3.2066160337,500,3,4.2095704893,11.8155566796,0.0185969586,1085,28,1103,296,33,1173,481,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.04712041884816754,0,0,0,0.04712041884816754,11.375,11.375,0.9528795811518325,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.23553970888,52.5848326122,1804,48.9535413345,58.4388521977,5.86426782054,R1,4.40701780344,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,52.5848326122,1804,Watchlist
TN5K-0007,35.0402105133,-90.1656339626,24.9740964218,1,1,,1,1,0,0.1338094102,metro_50km,metro_proxy,west,west|metro_50km,1.1841780215,1.1841780215,1.5533032947,500,3,6.1310615145,9.589855174,0.7979799109,1100,28,1103,296,35,1203,481,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.01461988304093567,0.131578947368421,0,0,0.1461988304093567,18.25,17.875,0.8538011695906433,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.6469734018,72.2842177181,1032,68.7189706217,78.7178319289,4.57185151446,R1,4.29543935929,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,72.2842177181,1032,Watchlist
TN5K-0008,35.0833080436,-90.1579005465,20.7417731642,1,1,,1,1,0,0.3719993962,metro_50km,metro_proxy,west,west|metro_50km,0.6757617807,0.6757617807,0.8376166366,500,3,7.3886637574,7.3886637574,0.194042589,1100,27,956,286,36,1231,540,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.1276595744680851,0.2468085106382979,0,0.01276595744680851,0.3872340425531915,9,7.25,0.6127659574468085,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,1,TN_DFIRM_statewide_service; floodway_only,-2.94386098839,62.7419722159,1401,59.584377135,68.4092461854,5.89273514006,R1,4.37233428205,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,62.7419722159,1401,Watchlist
TN5K-0009,35.1165989925,-90.1486316828,7.141412481,1,1,,1,1,0,0.1772968695,metro_50km,metro_proxy,west,west|metro_50km,2.6490008194,2.6490008194,2.6490008194,500,3,6.6628969154,6.6628969154,1.1255235667,1167,27,956,286,34,1181,355,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0,0.7079646017699115,0,0,0.7079646017699115,4.125,4.125,0.2920353982300885,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.64379987391,72.3297654293,1031,67.3035754953,77.6292416306,4.90776588476,R1,4.36294342396,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,72.3297654293,1031,Watchlist
TN5K-0010,35.2759835077,-90.1391671283,7.8497941931,1,1,,1,0,0,0.09127662,metro_50km,metro_proxy,west,west|metro_50km,7.4722891877,10.5241373898,18.107483038,500,2,11.4868065009,14.6274897176,0.7516576678,1290,27,956,286,35,1181,355,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,5,0,0.02162162162162162,0,0,0,0.02162162162162162,11.3125,11.3125,0.9783783783783784,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.92206753122,27.9207469825,2761,23.525392849,36.2685037577,5.26645411068,R1,3.75780229225,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,27.9207469825,2761,Lower empirical affinity
TN5K-0011,35.3027344875,-90.13340817780001,12.4929386403,1,1,,1,0,0,0.07054353770000001,metro_50km,metro_proxy,west,west|metro_50km,7.673099898,12.0994009152,21.1207292733,500,2,10.41744223,16.3562859982,1.4447752231,1319,27,956,286,35,1181,355,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,nearest_county_boundary,5,0,0,0,0,0,0,8.125,8.125,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.5878370982,39.2621270781,2315,34.2814848554,48.7371897062,7.21361876566,R1,3.92158460782,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,39.2621270781,2315,Lower empirical affinity
